7151,20283,14202,2910,760, Albany, ALBA
17419,20158,14081,2921,760, American Canyon, AMCA
24778,19918,13847,2912,760, Antioch, ANTI
9059,20396,14310,2912,760, Bay Point, BAPO
5836,19773,13739,2927,760, Belmont, BELM
7798,19997,13922,2931,760, Benicia, BENI
26900,19804,13702,2910,760, Berkeley, BERK
8499,21510,15217,2912,760, Blackhawk, BLAC
11840,20104,14025,2912,760, Brentwood, BREN
20238,21254,14976,2927,760, Brisbane, BRIS
8507,20331,14248,2927,760, Burlingame, BURL
11037,19812,13746,2929,760, Campbell, CAMP
12284,19820,13703,2910,760, Castro Valley, CAVA
5273,20312,14230,2932,760, Cloverdale, CLOV
26026,19830,13708,2912,760, Concord, CONC
12163,20325,14231,2932,760, Cotati, COTA
7737,19766,13747,2929,760, Cupertino, CUPE
25588,19972,13898,2927,760, Daly City, DACI
5003,20498,14410,2912,760, Danville, DANV
4633,21232,14956,2912,760, Discovery Bay, DIBA
11007,19999,13923,2931,760, Dixon, DIXO
6135,20029,13955,2910,760, Dublin, DUBL
78001,20294,14212,2912,760, El Cerrito, ECER
4344,22701,16056,2927,760, El Granada, EGRA
10740,20748,14609,2912,760, El Sobrante, ESOB
4117,20012,13937,2916,760, Fairfax, FAIX
32858,20077,14002,2931,760, Fairfield, FAID
9623,19873,13805,2910,760, Fremont, FREM
6408,19781,13754,2932,760, Fulton, FULT
22765,20053,13980,2929,760, Gilroy, GILR
8280,19809,13755,2932,760, Glen Ellen, GLEL
6262,19837,13756,2932,760, Guerneville, GUER
12491,20475,14385,2927,760, Half Moon Bay, HMBA
12961,19877,13807,2910,760, Hayward, HAYW
5373,19931,13861,2912,760, Hercules, HERC
5023,252732,242386,2927,760, Highlands, HIGH
4288,50819,41255,2912,760, Kensington, KENS
4278,19965,13888,2912,760, Lafayette, LAFA
10860,20510,14421,2916,760, Larkspur, LARK
13325,20988,14730,2910,760, Livermore, LIVE
4932,50316,40808,2912,760, Livermore, LIVE
4437,20050,13972,2929,760, Los Altos, LALT
7998,20297,14228,2929,760, Los Gatos, LGAT
14608,19779,13709,2912,760, Martinez, MART
6901,19823,13741,2927,760, Menlo Park, MEPA
23085,19876,13808,2916,760, Mill Valley, MIVA
11904,20098,14021,2927,760, Millbrae, MILL
9092,20468,14381,2929,760, Milpitas, MILP
6827,20387,14302,2932,760, Monte Rio, MORI
5066,20385,14297,2912,760, Moraga, MORA
12355,21224,14949,2929,760, Morgan Hill, MOHI
9818,19798,13748,2929,760, Mountain View, MOVI
22696,19791,13728,2921,760, Napa, NAPA
17362,20084,14008,2910,760, Newark, NEWA
4251,21514,15221,2916,760, Nicasio, NICA
24949,20101,14026,2916,760, Novato, NOVA
34190,19778,13704,2910,760, Oakland, OAKD
4204,19795,13710,2912,760, Oakley, OAKY
14421,20196,14119,2912,760, Orinda, ORIN
10147,19978,13906,2927,760, Pacifica, PACI
18916,19887,13816,2932,760, Petaluma, PETA
6028,20231,14138,2912,760, Pinole, PINO
6489,19827,13711,2912,760, Pittsburg, PITT
6952,19840,13772,2912,760, Pleasant Hill, PLHI
7176,19912,13823,2910,760, Pleasanton, PLEA
15111,19774,13742,2927,760, Redwood City, RECI
8976,19775,13712,2912,760, Richmond, RICH
6234,21417,15130,2931,760, Rio Vista, RIVI
6024,20553,14461,2932,760, Rohnert Park, ROPA
8985,19813,13729,2921,760, Saint Helena, SAHE
7904,20038,13966,2916,760, San Anselmo, SANS
12407,19998,13921,2927,760, San Bruno, SBRU
5059,20010,13933,2927,760, San Carlos, SCAR
109564,19842,13774,2939,760, San Francisco, SFRA
22227,19824,13749,2929,760, San Jose, SJOS
14560,19966,13886,2910,760, San Leandro, SLEA 
6274,21231,14955,2910,760, San Lorenzo, SLOR
33930,19808,13743,2927,760, San Mateo, SMAT
5064,20040,13965,2912,760, San Pablo, SPAB
48851,20112,14035,2916,760, San Rafael, SRAF 
13513,20401,14314,2912,760, San Ramon, SRAM
27355,19764,13759,2932,760, Santa Rosa, SROS
21669,19962,13891,2929,760, Saratoga, SARA
7434,19969,13897,2916,760, Sausalito, SAUS
19844,20356,14275,2932,760, Sebastopol, SEBA
15996,19784,13760,2932,760, Sonoma, SONO
19219,19836,13744,2927,760, South San Francisco, SSFR
8456,49858,40360,2921,760, Saint Helena, SAHE
9769,20013,13939,2929,760, Sunnyvale, SUNN
4676,19862,13794,2916,760, Tamalpais, TAMA
4259,20005,13932,2916,760, Tiburon, TIBU
34444,19925,13853,2910,760, Union City, UNCI
14183,19864,13796,2931,760, Vacaville, VACA
12779,19810,13751,2931,760, Vallejo, VALL
12424,19803,13713,2912,760, Walnut Creek, WACR
4219,51302,41715,2931,760, Walnut Grove, WAGR
5832,19884,13815,2932,760, Windsor, WIND
4460,19835,13719,2916,760, Woodacre, WOOA
7666,20045,13971,2927,760, Woodside, WOOS
